,ranks,names,name_links,caps,prices,percents,countries
0,1,BHP Group,/bhp-group/marketcap/,$146.36 B,$57.84,0.70%,Australia
1,2,Rio Tinto,/rio-tinto/marketcap/,$106.63 B,$65.41,1.46%,UK
2,3,China Shenhua Energy,/china-shenhua-energy/marketcap/,$81.83 B,$4.31,3.41%,China
3,4,Glencore,/glencore/marketcap/,$70.42 B,$5.70,1.08%,Switzerland
4,5,Vale,/vale/marketcap/,$61.55 B,$14.12,2.07%,Brazil
5,6,Southern Copper,/southern-copper/marketcap/,$60.68 B,$78.50,0.26%,USA
6,7,Freeport-McMoRan,/freeport-mcmoran/marketcap/,$55.65 B,$38.82,0.44%,USA
7,8,Zijin Mining,/zijin-mining/marketcap/,$46.83 B,$1.81,2.10%,China
8,9,Fortescue,/fortescue/marketcap/,$41.53 B,$13.49,0.65%,Australia
9,10,Bayan Resources,/bayan-resources/marketcap/,$41.00 B,$1.23,0.98%,Indonesia
10,11,Maaden,/maaden/marketcap/,$39.29 B,$10.64,1.80%,S. Arabia
11,12,Grupo México,/grupo-mexico/marketcap/,$37.93 B,$4.85,1.55%,Mexico
12,13,Anglo American,/anglo-american/marketcap/,$37.46 B,$28.01,2.68%,UK
13,14,Newmont,/newmont/marketcap/,$31.99 B,$40.29,6.13%,USA
14,15,Nutrien,/nutrien/marketcap/,$31.11 B,$62.87,3.14%,Canada
15,16,Barrick Gold,/barrick-gold/marketcap/,$28.66 B,$16.33,2.27%,Canada
16,17,Franco-Nevada,/franco-nevada/marketcap/,$27.49 B,$143.18,2.31%,Canada
17,18,Agnico Eagle Mines,/agnico-eagle-mines/marketcap/,$24.39 B,$49.30,0.73%,Canada
18,19,Teck Resources,/teck-resources/marketcap/,$22.05 B,$42.52,1.99%,Canada
19,20,Coal India,/coal-india/marketcap/,$20.86 B,$3.39,0.18%,India
20,21,Wheaton Precious Metals,/wheaton-precious-metals/marketcap/,$19.85 B,$43.80,1.00%,Canada
21,22,Yankuang Energy (Yanzhou Coal Mining),/yankuang-energy/marketcap/,$19.41 B,$3.00,1.01%,China
22,23,Antofagasta,/antofagasta/marketcap/,$17.47 B,$17.54,1.33%,UK
23,24,First Quantum Minerals,/first-quantum-minerals/marketcap/,$17.12 B,$24.71,3.17%,Canada
24,25,Cameco,/cameco/marketcap/,$16.95 B,$39.14,2.92%,Canada
25,26,Newcrest Mining,/newcrest-mining/marketcap/,$15.30 B,$17.11,3.38%,Australia
26,27,Shandong Gold Mining,/shandong-gold-mining/marketcap/,$14.80 B,$3.61,0.70%,China
27,28,Ganfeng Lithium,/ganfeng-lithium/marketcap/,$12.02 B,$6.33,0.80%,China
28,29,Tianqi Lithium,/tianqi-lithium/marketcap/,$11.43 B,$7.74,0.22%,China
29,30,Gold Fields,/gold-fields/marketcap/,$10.97 B,$12.22,1.84%,South Africa
30,31,Ivanhoe Mines,/ivanhoe-mines/marketcap/,$10.68 B,$8.77,2.47%,Canada
31,32,Vedanta,/vedanta/marketcap/,$10.55 B,$2.85,0.52%,India
32,33,South32,/south32/marketcap/,$9.94 B,$2.19,0.31%,Australia
33,34,Kazatomprom,/kazatomprom/marketcap/,$9.73 B,$37.53,2.54%,Kazakhstan
34,35,Metso Outotec (Mo Group),/metso/marketcap/,$9.54 B,$11.55,2.78%,Finland
35,36,Mineral Resources,/mineral-resources/marketcap/,$8.83 B,$45.26,1.56%,Australia
36,37,Sumitomo Metal Mining,/sumitomo-metal-mining/marketcap/,$8.82 B,$32.12,0.42%,Japan
37,38,Northern Star,/northern-star/marketcap/,$8.44 B,$7.33,7.19%,Australia
38,39,Washington H. Soul Pattinson and Company (WHSP),/washington-h-soul-pattinson/marketcap/,$7.94 B,$22.01,3.17%,Australia
39,40,AngloGold Ashanti,/anglogold-ashanti/marketcap/,$7.49 B,$17.87,3.95%,South Africa
40,41,Royal Gold,/royal-gold/marketcap/,$7.49 B,$114.04,0.03%,USA
41,42,Boliden,/boliden/marketcap/,$7.42 B,$27.16,0.15%,Sweden
42,43,United Tractors,/united-tractors/marketcap/,$6.70 B,$1.85,3.23%,Indonesia
43,44,American Battery Technology Company,/american-battery-technology-company/marketcap/,$6.68 B,$9.83,4.30%,USA
44,45,Kinross Gold,/kinross-gold/marketcap/,$6.35 B,$5.18,3.79%,Canada
45,46,Pan American Silver,/pan-american-silvera/marketcap/,$5.89 B,$16.18,1.54%,Canada
46,47,Lundin Mining,/lundin-mining/marketcap/,$5.71 B,$7.39,0.36%,Canada
47,48,Fresnillo,/fresnillo/marketcap/,$5.26 B,$7.15,2.26%,Mexico
48,49,National Mineral Development Corporation,/nmdc/marketcap/,$5.25 B,$1.79,4.26%,India
49,50,Merdeka Copper Gold,/merdeka-copper-gold/marketcap/,$5.15 B,$0.21,3.42%,Indonesia
50,51,KGHM Polska Miedź,/kghm/marketcap/,$5.12 B,$25.64,4.85%,Poland
51,52,CSN Mineração,/csn-mineracao/marketcap/,$5.02 B,$0.92,1.90%,Brazil
52,53,Alamos Gold,/alamos-gold/marketcap/,$5.01 B,$12.66,2.45%,Canada
53,54,Endeavour Mining,/endeavour-mining/marketcap/,$4.97 B,$20.13,2.52%,UK
54,55,Sibanye-Stillwater,/sibanye-stillwater/marketcap/,$4.81 B,$6.74,4.18%,South Africa
55,56,Impala Platinum,/impala-platinum/marketcap/,$4.80 B,$5.24,0.21%,South Africa
56,57,Evolution Mining,/evolution-mining/marketcap/,$4.37 B,$2.38,4.98%,Australia
57,58,Yancoal,/yancoal/marketcap/,$4.36 B,$3.31,1.94%,Australia
58,59,Liontown Resources,/liontown-resources/marketcap/,$4.29 B,$1.95,0.52%,Australia
59,60,Lynas,/lynas/marketcap/,$4.27 B,$4.58,2.42%,Australia
0,101,Orla Mining,/orla-mining/marketcap/,$1.34 B,$4.26,2.07%,Canada
1,102,Energy Fuels,/energy-fuels/marketcap/,$1.29 B,$8.18,5.10%,USA
2,103,Polymetal,/polymetal/marketcap/,$1.27 B,$1.97,2.76%,Cyprus
3,104,Mechel PAO,/mechel-pao/marketcap/,$1.20 B,$2.25,2.55%,Russia
4,105,Jastrzebska Spólka Weglowa,/jastrzebska-spolka-weglowa/marketcap/,$1.19 B,$10.19,4.10%,Poland
5,106,Gold Road Resources,/gold-road-resources/marketcap/,$1.18 B,$1.10,3.37%,Australia
6,107,Iamgold,/iamgold/marketcap/,$1.18 B,$2.47,1.70%,Canada
7,108,BEML,/beml/marketcap/,$1.17 B,$28.26,0.99%,India
8,109,Dundee Precious Metals,/dundee-precious-metals/marketcap/,$1.17 B,$6.30,3.62%,Canada
9,110,Centerra Gold,/centerra-gold/marketcap/,$1.16 B,$5.38,3.06%,Canada
10,111,MAG Silver,/mag-silver/marketcap/,$1.15 B,$11.18,0.36%,Canada
11,112,Compass Minerals,/compass-minerals/marketcap/,$1.14 B,$27.88,2.84%,USA
12,113,CGN Mining Company,/cgn-mining-company/marketcap/,$1.13 B,$0.15,2.00%,Hong Kong
13,114,Gujarat Mineral Development,/gujarat-mineral-development/marketcap/,$1.11 B,$3.51,5.53%,India
14,115,U.S. Silica,/us-silica/marketcap/,$1.07 B,$13.88,3.85%,USA
15,116,K92 Mining,/k92-mining/marketcap/,$1.03 B,$4.42,1.57%,Canada
16,117,Boss Energy,/boss-energy/marketcap/,$1.01 B,$2.88,2.27%,Australia
17,118,Compañía de Acero del Pacífico,/compania-de-acero-del-pacifico/marketcap/,$0.99 B,$6.69,3.30%,Chile
18,119,Seabridge Gold,/seabridge-gold/marketcap/,$0.95 B,$11.46,1.90%,Canada
19,120,Patriot Battery Metals,/patriot-battery-metals/marketcap/,$0.93 B,$8.43,0.85%,Canada
20,121,Wesdome Gold Mines,/wesdome-gold-mines/marketcap/,$0.91 B,$6.12,1.56%,Canada
21,122,Nexa Resources,/nexa-resources/marketcap/,$0.86 B,$6.50,2.48%,Luxembourg
22,123,Fortuna Silver Mines,/fortuna-silver-mines/marketcap/,$0.85 B,$2.94,4.26%,Canada
23,124,Coeur Mining,/coeur-mining/marketcap/,$0.83 B,$2.22,2.99%,USA
24,125,Piedmont Lithium,/piedmont-lithium/marketcap/,$0.81 B,$42.70,1.14%,Australia
25,126,New Found Gold,/new-found-gold/marketcap/,$0.78 B,$4.40,1.87%,Canada
26,127,DRDGOLD,/drdgold/marketcap/,$0.77 B,$9.03,1.41%,South Africa
27,128,Osisko Mining,/osisko-mining/marketcap/,$0.73 B,$1.95,4.52%,Canada
28,129,New Gold,/new-gold/marketcap/,$0.70 B,$1.03,1.64%,Canada
29,130,SilverCrest Metals,/silvercrest-metals/marketcap/,$0.68 B,$4.68,4.97%,Canada
30,131,Red 5 Limited,/red-5-limited/marketcap/,$0.59 B,$0.17,2.98%,Australia
31,132,Energy Resources of Australia,/energy-resources-of-australia/marketcap/,$0.58 B,$0.03000,2.31%,Australia
32,133,MOIL,/moil/marketcap/,$0.55 B,$2.73,1.74%,India
33,134,Standard Lithium,/standard-lithium/marketcap/,$0.54 B,$3.14,3.20%,Canada
34,135,Deep Yellow,/deep-yellow/marketcap/,$0.53 B,$0.71,0.48%,Australia
35,136,i-80 Gold,/i-80-gold/marketcap/,$0.51 B,$1.80,2.78%,USA
36,137,Endeavour Silver,/endeavour-silver/marketcap/,$0.49 B,$2.60,0.28%,Canada
37,138,Fission Uranium,/fission-uranium/marketcap/,$0.46 B,$0.64,2.32%,Canada
38,139,enCore Energy,/encore-energy/marketcap/,$0.46 B,$3.15,3.33%,Canada
39,140,Skeena Resources,/skeena-resources/marketcap/,$0.42 B,$4.78,4.20%,Canada
40,141,Hallador Energy Company,/hallador-energy-company/marketcap/,$0.41 B,$12.39,1.85%,USA
41,142,PolyMet,/polymet/marketcap/,$0.40 B,$2.08,1.94%,Canada
42,143,Taseko Mines,/taseko-mines/marketcap/,$0.40 B,$1.40,2.70%,Canada
43,144,Ur Energy,/ur-energy/marketcap/,$0.39 B,$1.48,2.23%,USA
44,145,Argonaut Gold,/argonaut-gold/marketcap/,$0.38 B,$0.44,4.00%,USA
45,146,Gatos Silver,/gatos-silver/marketcap/,$0.38 B,$5.54,6.06%,USA
46,147,New Pacific Metals,/new-pacific-metals/marketcap/,$0.36 B,$2.28,2.19%,Canada
47,148,IsoEnergy,/isoenergy/marketcap/,$0.34 B,$3.12,5.60%,Canada
48,149,TMC the metals company,/tmc-the-metals-company/marketcap/,$0.34 B,$1.13,4.73%,Canada
49,150,McEwen Mining,/mcewen-mining/marketcap/,$0.33 B,$6.96,0.62%,Canada
50,151,ioneer,/ioneer/marketcap/,$0.32 B,$6.27,3.19%,Australia
51,152,Prakash Industries,/prakash-industries/marketcap/,$0.28 B,$1.58,1.27%,India
52,153,ASA Gold and Precious Metals,/asa-gold-and-precious-metals/marketcap/,$0.27 B,$14.30,7.12%,USA
53,154,Atlas Lithium,/atlas-lithium/marketcap/,$0.27 B,$25.57,4.35%,USA
54,155,NACCO Industries,/nacco-industries/marketcap/,$0.24 B,$33.08,5.71%,USA
55,156,Bannerman Energy,/bannerman-energy/marketcap/,$0.24 B,$1.63,4.84%,Australia
56,157,Osisko Development,/osisko-development/marketcap/,$0.24 B,$2.90,1.93%,Canada
57,158,Vizsla Silver,/vizsla-silver/marketcap/,$0.24 B,$1.14,3.54%,Canada
58,159,Perpetua Resources,/perpetua-resources/marketcap/,$0.23 B,$3.71,2.60%,USA
59,160,Western Copper and Gold,/western-copper-and-gold/marketcap/,$0.22 B,$1.42,7.57%,Canada
60,161,Arizona Metals,/arizona-metals/marketcap/,$0.21 B,$1.87,2.22%,Canada
61,162,Marathon Gold,/marathon-gold/marketcap/,$0.21 B,$0.53,0.66%,Canada
62,163,Dakota Gold,/dakota-gold/marketcap/,$0.20 B,$2.63,3.23%,USA
63,164,Northern Dynasty Minerals,/northern-dynasty-minerals/marketcap/,$0.20 B,$0.38,2.88%,Canada
64,165,Caledonia Mining,/caledonia-mining/marketcap/,$0.19 B,$10.39,4.64%,Jersey
65,166,Gold Royalty Corp,/gold-royalty-corp/marketcap/,$0.19 B,$1.34,5.56%,Canada
66,167,Metalla Royalty & Streaming,/metalla-royalty-streaming/marketcap/,$0.16 B,$3.20,2.38%,Canada
67,168,Nouveau Monde Graphite,/nouveau-monde-graphite/marketcap/,$0.15 B,$2.62,3.56%,Canada
68,169,Galiano Gold,/galiano-gold/marketcap/,$0.14 B,$0.66,4.62%,Canada
0,201,Superior Resources,/superior-resources/marketcap/,$33.04 M,$0.02000,6.90%,Australia
1,202,Toro Energy,/toro-energy/marketcap/,$28.04 M,$0.01000,1.61%,Australia
2,203,Almaden Minerals,/almaden-minerals/marketcap/,$17.85 M,$0.13,12.50%,Canada
3,204,Aurora Energy Metals,/aurora-energy-metals/marketcap/,$13.24 M,$0.07000,1.53%,Australia
4,205,GTI Energy,/gti-energy/marketcap/,$11.83 M,$0.01000,0.66%,Australia
